District,School,Score,ASSESSMENT
Gwinnett County,"Gwinnett School of Mathematics, Science and Technology",28.9,ACT
Fulton County,Northview High School,26.5,ACT
Cobb County,Walton High School,25.7,ACT
Fulton County,Alpharetta High School,25.6,ACT
Chatham County,Savannah Arts Academy,25.3,ACT
Fulton County,Johns Creek High School,25.2,ACT
Fulton County,Milton High School,25.1,ACT
Fulton County,Chattahoochee High School,25,ACT
Thomas County,Bishop Hall Charter School,25,ACT
Muscogee County,Columbus High School,24.8,ACT
